gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
ABL2,23.523771,27.153222,26.607214,14.222458,12.947926999999998,13.44836
ABLIM1,98.029702,101.61873800000001,101.58336200000001,53.799759,53.392238000000006,52.168049999999994
ABLIM2,5.570594999999999,5.96135,5.463849,2.320545,2.268018,2.271009
ABLIM3,0.692018,0.573895,0.591534,0.6823620000000001,0.41303300000000004,0.49227600000000005
ABO,0.0,0.498526,0.006265,0.010802,0.006846,0.0
ABR,146.997767,150.13746799999998,158.426338,116.264011,115.475359,115.515984
ABR-AS1,0.181611,0.137669,0.20733,0.200853,0.190447,0.051935
ABRA,0.0,0.0,0.0,0.07028,0.0,0.0
ABRACL,39.491516,43.517155,44.982714,20.563518,17.400914,15.139138
ABRAXAS1,6.276244,6.879112,6.73533,9.347356,8.760098000000001,8.214681
ABRAXAS1P1,0.0,0.0,0.0,0.0,0.0,0.0
ABRAXAS1P2,0.037091,0.155034,0.0,0.0,0.036962,0.073698
ABRAXAS2,19.562553,21.383816,20.685478,15.309572,13.60308,13.175702
ABT1,15.382035,14.589725,14.596232,13.876038,15.468945,16.668362
ABT1P1,0.0,0.086995,0.0,0.0,0.0,0.0
ABTB1,3.306908,3.17317,3.373304,4.844463,4.798615,5.515265
ABTB2,5.586845,4.842279,4.650103,1.426848,1.34604,1.648805
ABTB3,1.133448,1.5585930000000001,1.0215480000000001,1.684821,1.793993,2.94698
ACAA1,48.261288,38.355333,35.314926,27.620661,27.344264,32.797006
ACAA2,181.796444,186.431515,191.744309,117.15177,120.050993,104.31508099999999
ACAA2P1,0.226102,0.0,0.0538,0.09059,0.111721,0.052518
ACACA,52.844371,49.760041,57.558901000000006,37.512156,36.284223000000004,43.892795
ACACB,7.543,14.049959,9.765603,6.929557,8.995754,4.339647
ACAD10,16.477543,20.676432,22.190398,23.016389,19.465367,18.753995
ACAD11,19.848467,18.880899,17.663403,14.384831000000002,13.879382,15.695624
ACAD8,29.951079,28.508176,29.821336,24.563307000000002,22.889793,29.051292
ACAD9,34.988454000000004,34.255531,36.150836,22.446706,24.905606,21.701189000000003
ACAD9-DT,2.94531,3.336863,3.4430709999999998,1.711273,2.15451,1.643892
ACADL,0.528562,0.8035599999999999,0.587079,0.211425,0.258755,0.0
ACADM,61.382075,68.76718799999999,58.969261,51.581669,51.964695,46.985005
ACADS,5.847156,5.146145,5.138784,7.483517000000001,6.756004,9.634223
ACADSB,13.177376000000002,14.516346,13.954969,12.472695,12.221108000000001,11.344758
ACADVL,204.54720799999998,188.453105,181.011008,144.71930899999998,156.435546,149.986318
ACAN,0.0,0.01982,0.009102,0.0,0.009846,0.029846
ACAP1,0.147159,0.416408,0.24035299999999998,1.969799,3.335363,3.8589979999999997
ACAP2,23.664299,27.228383,20.093624,12.451175,17.418024,15.394877
ACAP2-IT1,0.219034,0.216084,0.599732,0.0,0.6009,0.0
ACAP3,67.790547,51.200812,61.611729,47.384838,43.508365,46.530755
ACAT1,148.049931,152.874249,147.59867,144.355421,159.965601,125.64264000000001
ACAT2,127.598745,128.936443,137.651801,47.758405999999994,46.408308,43.856308
ACBD3,72.219009,78.62398400000001,72.553388,51.421086,56.787355000000005,47.555549
ACBD3-AS1,0.869228,1.078355,0.500531,0.367421,0.733235,0.783066
ACBD4,2.349264,2.342516,2.272401,5.398540000000001,5.092565,6.874401
ACBD5,39.750065,39.991642,38.090772,47.771358,44.664237,44.908131
ACBD6,90.45442299999999,108.560247,110.429783,69.961123,80.625757,68.773489
ACBD7,10.315887,11.167995,9.959394,3.671009,3.323603,2.997692
ACCS,10.113852,8.023288,11.15841,8.138641999999999,9.384673,7.125821
ACCSL,0.114394,0.088261,0.053956,0.2997,0.147441,0.454389
ACCSLP1,0.0,0.0,0.0,0.0,0.0,0.0
ACD,78.61795599999999,83.619812,77.088367,24.268276,35.63453,28.156869
ACE,12.282944,12.012194000000001,13.165881,12.108483999999999,13.420119000000001,15.272235
ACE2,0.02349,0.051929,0.083884,0.076287,0.027466,0.0
ACE2-DT,0.0,0.0,0.0,0.0,0.0,0.0
ACE3P,0.0,0.0,0.0,0.0,0.0,0.0
ACER1,0.093234,0.188906,0.117,0.102405,0.0,0.0
ACER2,2.467102,2.721309,2.558274,2.404279,2.33851,2.268389
ACER2P1,0.0,0.0,0.0,0.0,0.0,0.0
ACER3,15.928443,13.485963,19.713126,8.382671,8.253213,7.419321
ACHE,2.784472,2.958508,2.216668,3.602455,4.246691,3.747327
ACIN1,202.147893,201.836256,196.670544,110.166557,118.907951,114.28397
ACKR1,0.0,0.0,0.0,0.0,0.0,0.0
ACKR2,0.387488,0.49668500000000004,0.279125,0.39622199999999996,0.182671,0.145887
ACKR3,0.0,0.0,0.0,0.0,0.0,0.0
ACKR4,0.0,0.0,0.0,0.0,0.0,0.0
ACKR4P1,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,218.531839,208.64320999999998,216.43555,183.791283,189.493008,200.29702600000002
ACMSD,0.0,0.043351,0.197546,0.033969,0.0,0.0
ACNATP,0.0,0.0,0.0,0.0,0.0,0.0
ACO1,14.319884,13.964251,13.800704999999999,12.569197,11.775986,11.364396
ACO2,56.854668000000004,55.598113000000005,57.898415,51.083364,50.293794999999996,54.652150999999996
ACO2P1,0.0,0.0,0.0,0.0,0.0,0.0
ACO2P2,0.0,0.0,0.0,0.0,0.0,0.0
ACOD1,0.0,0.0,0.0,0.0,0.0,0.0
ACOT1,4.395121,4.289632,4.185583,2.171806,2.920364,4.1984889999999995
ACOT11,5.3871400000000005,6.612173,4.659987,0.793454,1.221504,0.951115
ACOT12,0.017055,0.04723,0.0,0.0,0.0,0.069329
ACOT13,26.757086,28.737847,25.675953,16.416428,16.861522,11.918896
ACOT2,22.532492,27.240592000000003,21.764440999999998,18.757960999999998,16.943745,17.939626
ACOT4,0.0,0.169609,0.0,0.136994,0.0,0.0
ACOT6,0.0,0.062485,0.0,0.0,0.0,0.0
ACOT7,160.012412,147.919566,156.529597,74.327267,77.275071,83.604577
ACOT8,21.74782,21.524217999999998,21.292933,20.548583999999998,21.190884,25.185305
ACOT9,23.088803000000002,20.703282,23.616327,14.13496,15.663274,11.991779000000001
ACOX1,30.999513,33.205694,33.56639,18.948923999999998,17.576498,20.096266
ACOX2,0.0,0.057071,0.0,0.203032,0.32447000000000004,0.171718
ACOX3,9.014155,7.031013,8.981541,8.390285,8.593957,9.599261
ACOXL,0.07749,0.058045,0.025482,0.0,0.052521,0.0
ACOXL-AS1,0.289045,0.223249,0.270775,1.734045,0.692115,0.5895750000000001
ACP1,154.838647,161.300918,162.994337,120.50909300000001,114.98216099999999,113.750482
ACP2,34.02638,33.322757,33.508215,20.716727,23.915522000000003,25.032623
ACP3,0.030375,0.382063,0.014397,0.083022,0.0,0.044634
