gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
RN7SKP155,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP156,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP157,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP158,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP159,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP16,0.0,4.0,2.0,3.0,1.0,0.0
RN7SKP160,2.0,0.0,0.0,0.0,0.0,1.0
RN7SKP161,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP162,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP163,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP164,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP165,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP166,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP167,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP168,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP169,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP17,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP170,0.0,0.0,0.0,1.0,0.0,0.0
RN7SKP171,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP172,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP173,3.006,2.006,6.012,7.0,0.0,0.0
RN7SKP174,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP175,1.747,0.0,0.0,0.0,0.0,0.0
RN7SKP176,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP177,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP178,0.0,0.0,0.0,0.0,0.0,1.0
RN7SKP179,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP18,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP180,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP181,0.0,0.0,1.0,0.0,0.0,0.0
RN7SKP182,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP183,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP184,0.0,0.0,0.0,1.0,0.0,0.0
RN7SKP185,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP186,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP187,0.0,0.0,0.934,0.0,0.0,1.454
RN7SKP188,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP189,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP19,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP190,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP191,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP192,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP193,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP194,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP195,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP196,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP197,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP198,0.0,3.0,0.0,0.0,0.0,0.0
RN7SKP199,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP2,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP20,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP200,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP202,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP203,0.0,4.329,3.227,7.608,4.183,0.0
RN7SKP204,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP205,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP206,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP207,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP208,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP209,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP21,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP210,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP211,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP212,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP213,0.0,0.0,0.0,1.0,0.0,0.0
RN7SKP214,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP216,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP217,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP218,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP219,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP22,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP220,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP221,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP222,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP223,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP224,0.0,0.0,0.0,0.0,1.0,0.0
RN7SKP225,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP226,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP227,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP228,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP229,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP23,4.211,3.0,1.0,2.01,4.393,1.0
RN7SKP230,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP231,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP232,0.0,0.0,0.0,0.0,0.0,0.0
RN7SKP233,0.0,0.0,0.0,0.0,0.0,0.0
