"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACVR2B",4024.05155943833,0.963917347036013,0.0573051269011207,1.71859796940752e-63,6.99406531333763e-62
"ACVR2B-AS1",81.9963772527706,1.04642151504572,0.280323600485132,0.000189283610767995,0.000658684321430008
"ACVRL1",146.284945224366,1.48703169723969,0.19486411130264,2.32720328649619e-14,1.88458556557196e-13
"ACY1",801.347467871345,1.13642939749115,0.106775998613819,1.87742594605774e-26,2.80550784396883e-25
"ACYP1",297.091870874092,-0.419975724877745,0.13358618892513,0.00166737538082091,0.00505644769556374
"ACYP2",235.844345573911,0.0716677738559813,0.150192388957464,0.633238836007286,0.774858558492546
"ADA",612.288420868154,0.866575242554075,0.098677367970967,1.60729237503491e-18,1.64639736759278e-17
"ADA2",51.4206601348838,0.628443941138203,0.316325714886929,0.0469557768409019,0.104455894288121
"ADAD1P1",8.51974998565142,0.0838274946823695,0.884914552166567,0.924529702229214,0.961255536866914
"ADAL",883.773913212182,-0.124176899895144,0.0879163983379188,0.157819567974192,0.286170241623813
"ADAM10",3957.85949946526,0.32928533568753,0.056647621297951,6.14102513053862e-09,3.38861740227479e-08
"ADAM11",559.02318146936,1.45980724728897,0.108471224567366,2.76241881146234e-41,6.5353416576537e-40
"ADAM12",10373.2490512799,-0.349123517154537,0.0463381421405058,4.91119472743261e-14,3.88854817917785e-13
"ADAM15",4871.86271175554,0.695191273638506,0.0674216801895964,6.27826072248088e-25,8.86436392576202e-24
"ADAM17",3864.87455576586,0.242882874598562,0.0552092928882784,1.08594879481518e-05,4.42645179135017e-05
"ADAM19",908.850661151973,-0.211162738788008,0.0839615825566825,0.0119034962771669,0.0309377294855232
"ADAM20P1",7.04503861885793,0.653325838798793,0.869680498004577,0.452517183232095,0.629197982421248
"ADAM21",29.8919917024896,0.271665533534461,0.435516942189358,0.532773922982676,0.698701105615582
"ADAM22",18973.2000981981,1.01025426186779,0.0509107555560499,1.25088792444632e-87,7.98509453615386e-86
"ADAM23",1225.85782602024,-0.663042128668175,0.0813066076176599,3.49651250672981e-16,3.15598473720979e-15
"ADAM29",6.16152450835731,0.154564020596151,0.883813847117456,0.861171565273209,0.925918587359862
"ADAM32",12.3758930508009,0.141203676439824,0.669671377988364,0.833000281869493,0.90974247441469
"ADAM3A",2.09056129422853,-2.37295002671428,1.78942387410886,0.184807496516223,NA
"ADAM7-AS1",3.28441896624999,0.287865008829759,1.21398735169997,0.81256093132096,0.897709741905652
"ADAM8",34.8064446362137,-0.607651891699922,0.391831793094878,0.120950142504027,0.230975778468325
"ADAM9",1526.05080021857,0.519515366204075,0.0742277904218294,2.57918305111485e-12,1.82532285713127e-11
"ADAMTS1",2696.50669548597,0.63619215232448,0.0598025971517248,1.97909934905604e-26,2.95399330245694e-25
"ADAMTS10",17.3084280841472,1.19031066534659,0.535548584594383,0.026242736178426,0.0627937584379734
"ADAMTS12",135.527048581152,-2.18025265921249,0.215802077216705,5.35667778161011e-24,7.16032573648332e-23
"ADAMTS13",368.6464911142,0.305404806221752,0.123198075799396,0.013176097192619,0.0339078853862131
"ADAMTS14",182.348264781533,2.36790810904427,0.192420465637747,8.41867070961709e-35,1.65388436550098e-33
"ADAMTS15",12.2896820796822,-1.26589104620615,0.670342122576153,0.0589688730574028,0.127007590452116
"ADAMTS16",8.40796525722119,-0.8582137834752,0.77915472258177,0.27069314179737,0.4341333903721
"ADAMTS16-DT",8.64490231659651,-0.129000943354164,0.820498137754725,0.875069328401746,0.934121049185156
"ADAMTS17",45.6405925831074,-2.0429894290052,0.370405605414773,3.47697320931524e-08,1.79950586761123e-07
"ADAMTS19",4633.89586768054,0.82143941103611,0.0565339100909286,7.81861575133875e-48,2.20906099340805e-46
"ADAMTS19-AS1",116.078227646921,0.901352225359779,0.213140291906342,2.34820803037199e-05,9.19385579098533e-05
"ADAMTS2",19.385866280251,0.144625730493751,0.576753533615227,0.802000990262829,0.891390792790061
"ADAMTS20",27.1241084761824,-1.25087994315658,0.450994416314358,0.00554391070588465,0.0154136012000907
"ADAMTS3",515.77903561264,1.16610122278618,0.113796620260885,1.21771634295114e-24,1.70240868087729e-23
"ADAMTS4",2185.77918961369,0.694164928137764,0.0649010512356365,1.06562774035237e-26,1.6093179290584e-25
"ADAMTS5",52.296831604391,-0.0833231230910143,0.308767884833897,0.787270398833057,0.882181214731597
"ADAMTS6",50.918401650517,-1.37765588383672,0.33324613234081,3.5642722708675e-05,0.000136339273146543
"ADAMTS7",2621.17025364227,0.317346272049279,0.06439230294294,8.29370754922722e-07,3.79585778374966e-06
"ADAMTS7P1",34.7885700127373,0.123715708727351,0.372183430835878,0.739583310588633,0.852056959559289
"ADAMTS7P3",21.6158661512142,0.196601387783685,0.484157032671956,0.684691560091591,0.813985442839706
"ADAMTS7P4",1.6341445086952,-2.88588528892605,1.96316378926425,0.141556991878358,NA
"ADAMTS9",13751.9892645934,-0.681603819981265,0.0455911894695387,1.54954161931599e-50,4.70523918994669e-49
"ADAMTS9-AS1",28.99133431426,-2.03660133824321,0.49374436097956,3.71042038631482e-05,0.000141739055437825
"ADAMTS9-AS2",171.100810326224,1.19141327463096,0.1850484741394,1.20751592340633e-10,7.61892842182779e-10
"ADAMTSL1",11.4679340719806,1.74514645417132,0.692284975989064,0.0117071807218948,0.0304832074172579
