region,target_gene,proxy,n,spearman_rho,p_value,q_value,in_correction_family
Cortex Motor Medial,CBARP,gene-level STMN2,87,-0.327,0.0020009905293586,0.006878404944670188,yes
Cortex Motor Medial,ATP2A2,cryptic STMN2 PSI,87,-0.299,0.0048312955373208,0.015404130698704,yes
Cortex Motor Medial,ATP2A2,gene-level STMN2,87,0.805,5.3523962830251286e-21,9.057901402042525e-20,yes
Cortex Motor Medial,ORAI2,cryptic STMN2 PSI,87,0.051,0.63707113700265,0.7617814800804986,yes
Cortex Motor Medial,ORAI2,gene-level STMN2,87,-0.294,0.0056377628167878,0.01699051807799063,yes
Cortex Motor Medial,STIM1,cryptic STMN2 PSI,87,-0.128,0.2389479294917687,0.4075080968076676,yes
Cortex Motor Medial,STIM1,gene-level STMN2,87,0.029,0.790983894879824,0.8700822843678064,yes
Cortex Motor Medial,ORAI1,cryptic STMN2 PSI,87,0.154,0.154779920897388,0.2910391674993621,yes
Cortex Motor Medial,ORAI1,gene-level STMN2,87,-0.58,3.836342288086568e-09,2.482339127585426e-08,yes
Cortex Motor Medial,ATP2A3,cryptic STMN2 PSI,87,0.139,0.2002800848803038,0.3553356344650551,yes
Cortex Motor Medial,ATP2A3,gene-level STMN2,87,-0.297,0.0052498202748741,0.016377691344361973,yes
Cortex Motor Medial,SNAP25,cryptic STMN2 PSI,87,-0.276,0.0097467277264903,0.028214211839840343,yes
Cortex Motor Medial,SNAP25,gene-level STMN2,87,0.864,4.439859058274997e-27,1.085298880911666e-25,yes
Cortex Motor Medial,GFAP,cryptic STMN2 PSI,87,0.284,0.0076706146885519,0.022804530155154296,yes
Cortex Motor Medial,GFAP,gene-level STMN2,87,-0.666,1.844139757955505e-12,1.5604259490392733e-11,yes
Cortex Motor Medial,STMN2,cryptic STMN2 PSI,87,-0.202,0.0605813942046061,0.13462532045468023,yes
Cortex Motor Medial,STMN2,gene-level STMN2,87,1.0,0.0,,no
Cortex Motor Unspecified,TRPC1,cryptic STMN2 PSI,67,-0.038,0.7599297004875613,0.8541511235663701,yes
Cortex Motor Unspecified,TRPC1,gene-level STMN2,67,0.039,0.752176976219866,0.8529841998369615,yes
Cortex Motor Unspecified,SARAF,cryptic STMN2 PSI,67,0.065,0.6039928870545404,0.7423376265474797,yes
Cortex Motor Unspecified,SARAF,gene-level STMN2,67,0.591,1.4404531381938628e-07,8.125633087247431e-07,yes
Cortex Motor Unspecified,CBARP,cryptic STMN2 PSI,67,-0.148,0.2306744483761882,0.3995935326201685,yes
Cortex Motor Unspecified,CBARP,gene-level STMN2,67,-0.095,0.4460248943591419,0.6057128195000693,yes
Cortex Motor Unspecified,ATP2A2,cryptic STMN2 PSI,67,-0.104,0.4021334932085352,0.5707701193927596,yes
Cortex Motor Unspecified,ATP2A2,gene-level STMN2,67,0.592,1.346085764205517e-07,7.793128108558257e-07,yes
Cortex Motor Unspecified,ORAI2,cryptic STMN2 PSI,67,-0.152,0.2189305893136504,0.38531783719202467,yes
Cortex Motor Unspecified,ORAI2,gene-level STMN2,67,-0.201,0.1034841042015749,0.20513182946689043,yes
Cortex Motor Unspecified,STIM1,cryptic STMN2 PSI,67,-0.018,0.8867855064477228,0.9290133877071383,yes
Cortex Motor Unspecified,STIM1,gene-level STMN2,67,0.056,0.6538553478574592,0.7747399600475486,yes
Cortex Motor Unspecified,ORAI1,cryptic STMN2 PSI,67,0.282,0.0209063404172375,0.056782652985089506,yes
Cortex Motor Unspecified,ORAI1,gene-level STMN2,67,-0.486,3.080076134698639e-05,0.00014730798905080445,yes
Cortex Motor Unspecified,ATP2A3,cryptic STMN2 PSI,67,0.072,0.5614081291442636,0.7139294127846127,yes
Cortex Motor Unspecified,ATP2A3,gene-level STMN2,67,-0.48,4.019919285199275e-05,0.00018048617198853888,yes
Cortex Motor Unspecified,SNAP25,cryptic STMN2 PSI,67,-0.223,0.0702636272979162,0.15293256728481577,yes
Cortex Motor Unspecified,SNAP25,gene-level STMN2,67,0.662,1.0876220494564582e-09,7.718608092916801e-09,yes
Cortex Motor Unspecified,GFAP,cryptic STMN2 PSI,67,0.234,0.0562593861319155,0.1275986077218702,yes
Cortex Motor Unspecified,GFAP,gene-level STMN2,67,-0.471,5.763738050931363e-05,0.00023924950400092452,yes
Cortex Motor Unspecified,STMN2,cryptic STMN2 PSI,67,0.007,0.9520687459229744,0.9652309866500202,yes
Cortex Motor Unspecified,STMN2,gene-level STMN2,67,1.0,0.0,,no
Cortex Occipital,TRPC1,gene-level STMN2,46,0.746,2.7348929986928114e-09,1.8232619991285407e-08,yes
Cortex Occipital,SARAF,gene-level STMN2,46,0.895,5.335265796108399e-17,7.335990469649048e-16,yes
Cortex Occipital,CBARP,gene-level STMN2,46,-0.253,0.0897147672823358,0.18446026917863434,yes
Cortex Occipital,ATP2A2,gene-level STMN2,46,0.88,8.585273087009253e-16,1.1110353406717858e-14,yes
Cortex Occipital,ORAI2,gene-level STMN2,46,-0.127,0.4003237453732243,0.5707701193927596,yes
Cortex Occipital,STIM1,gene-level STMN2,46,0.335,0.0230308488786027,0.06179008235722676,yes
Cortex Occipital,ORAI1,gene-level STMN2,46,-0.462,0.0012272009668053,0.004425970699953541,yes
Cortex Occipital,ATP2A3,gene-level STMN2,46,-0.383,0.0085474216715147,0.025072436903109785,yes
Cortex Occipital,SNAP25,gene-level STMN2,46,0.929,1.1804435594665718e-20,1.8549827363046129e-19,yes
Cortex Occipital,GFAP,gene-level STMN2,46,-0.566,4.213663320913984e-05,0.0001854011861202153,yes
Cortex Occipital,STMN2,gene-level STMN2,46,1.0,0.0,,no
Cortex Temporal,TRPC1,cryptic STMN2 PSI,42,-0.084,0.5981894508449819,0.7393352763252585,yes
Cortex Temporal,TRPC1,gene-level STMN2,42,0.837,4.7776105369752825e-12,3.624394200464007e-11,yes
Cortex Temporal,SARAF,cryptic STMN2 PSI,42,-0.087,0.584867991359812,0.7269545655319697,yes
Cortex Temporal,SARAF,gene-level STMN2,42,0.845,2.086467660179291e-12,1.700084760146089e-11,yes
Cortex Temporal,CBARP,cryptic STMN2 PSI,42,-0.004,0.9785814359620252,0.9815528335658642,yes
Cortex Temporal,CBARP,gene-level STMN2,42,-0.654,2.68869908704734e-06,1.4427165832936949e-05,yes
Cortex Temporal,ATP2A2,cryptic STMN2 PSI,42,-0.123,0.4367401568360288,0.6042945566284675,yes
Cortex Temporal,ATP2A2,gene-level STMN2,42,0.841,3.2335883580903167e-12,2.540676567070963e-11,yes
Cortex Temporal,ORAI2,cryptic STMN2 PSI,42,-0.124,0.4355971229122733,0.6042945566284675,yes
Cortex Temporal,ORAI2,gene-level STMN2,42,-0.58,5.693347360338874e-05,0.00023924950400092452,yes
Cortex Temporal,STIM1,cryptic STMN2 PSI,42,-0.096,0.5444399285231537,0.7062602019719711,yes
Cortex Temporal,STIM1,gene-level STMN2,42,-0.11,0.489762455066532,0.653016606755376,yes
Cortex Temporal,ORAI1,cryptic STMN2 PSI,42,-0.108,0.4971917127774784,0.6589287759701521,yes
Cortex Temporal,ORAI1,gene-level STMN2,42,-0.595,3.257708033454433e-05,0.00015248846114042028,yes
Cortex Temporal,ATP2A3,cryptic STMN2 PSI,42,0.058,0.7172772289416924,0.8218801581623559,yes
Cortex Temporal,ATP2A3,gene-level STMN2,42,-0.421,0.0054524465788213,0.016660253435287306,yes
Cortex Temporal,SNAP25,cryptic STMN2 PSI,42,-0.134,0.3959282963943544,0.5707701193927596,yes
Cortex Temporal,SNAP25,gene-level STMN2,42,0.851,1.0061125721727786e-12,8.853790635120452e-12,yes
Cortex Temporal,GFAP,cryptic STMN2 PSI,42,0.11,0.4882440333510146,0.653016606755376,yes
Cortex Temporal,GFAP,gene-level STMN2,42,-0.318,0.0403776217434045,0.09980985150055045,yes
Cortex Temporal,STMN2,cryptic STMN2 PSI,42,-0.03,0.8513991561383873,0.9087546855512253,yes
Cortex Temporal,STMN2,gene-level STMN2,42,1.0,1.0641442854e-314,,no
Hippocampus,TRPC1,cryptic STMN2 PSI,36,0.177,0.3021517052884445,0.46162066085734577,yes
Hippocampus,TRPC1,gene-level STMN2,36,0.276,0.1034983321401129,0.20513182946689043,yes
Hippocampus,SARAF,cryptic STMN2 PSI,36,-0.046,0.788827254673415,0.8700822843678064,yes
