gene,interaction_log2,n_conditions_positive,p_t_test_4conditions,q_t_test_4conditions,p_sign_test,q_sign_test,interaction_XRN1,interaction_XRN1_SMG6,interaction_XRN1_UPF1,interaction_UPF1_SMG6
ATP2A1,0.263001701497585,2,0.481508827917116,0.646412349097061,0.6875,1.0,-0.178869381638253,1.06536487612614,0.523464853660135,-0.357953542157679
ITPR2,0.255289454170234,3,0.163239856399792,0.356964825902229,0.3125,0.78319315355413,-0.0753782846789637,0.55713351909201,0.393082674785732,0.146319907482158
ITPR1,0.252399757311886,2,0.607245014159312,0.74466473200615,0.6875,1.0,-0.568327445366565,-0.451564298631659,1.05511069880653,0.974380074439233
STIMATE,0.228944841452733,3,0.227762246997893,0.422923779458679,0.3125,0.78319315355413,-0.0314978484199493,0.101750864071105,0.181878077102835,0.663648273056941
TRPC1,0.17059305076894,4,0.100557658997775,0.286399342682594,0.0625,0.310311851659751,0.169839986288819,0.371860747138298,0.0330994095300792,0.107572060118564
ATP2A2,0.113429846270127,3,0.274121750822106,0.468200635158286,0.3125,0.78319315355413,0.0962762157317734,0.358521850644433,0.0112814582918865,-0.0123601395875852
CRACR2A,0.109041375876329,2,0.681998003936845,0.799072936681205,0.6875,1.0,-0.0713915673953736,0.347386057295955,0.631250002687635,-0.471078989082899
MICU1,0.0757063157516411,3,0.60830876923308,0.745491703172917,0.3125,0.78319315355413,0.209329057217534,0.339725227898366,0.026459209160187,-0.272688231269523
ARHGAP32,0.0729823435278911,2,0.772847847663866,0.862499099010476,0.6875,1.0,-0.247870565115793,-0.395524242027724,0.526419649205256,0.408904532049826
SARAF,0.052947375289953,3,0.208163316814264,0.403928378249351,0.3125,0.78319315355413,-0.0114232905136742,0.0408680924314062,0.0366328359486801,0.1457118632934
CAMK2B,0.0472079874376994,2,0.876346547910529,0.926799633558229,0.6875,1.0,0.48207236349706,-0.553794175157806,0.55989121250972,-0.299337451098177
ORAI3,-6.78111495158173e-05,1,0.999677554480294,0.999900100102366,0.9375,1.0,-0.22571922717209,-0.162950600164745,-0.0645138602988204,0.452912443037592
RYR1,-0.0148011891962723,2,0.985801791375101,0.992698048383984,0.6875,1.0,0.651383047168839,-1.88835182981116,1.67585140654984,-0.498087380692611
TRPC4,-0.0465100545454402,1,0.939465458811487,0.965694830010519,0.9375,1.0,-0.0518350129964142,1.48634515787713,-0.422929841366368,-1.1976205216961
STIM2,-0.0577313582733341,2,0.450038691823132,0.620972306663341,0.6875,1.0,-0.194518324673979,-0.139949086055047,0.0955679807368561,0.0079739968988334
ITPR3,-0.127515501709304,3,0.659534485194968,0.782737323463005,0.3125,0.78319315355413,-0.900051143525507,0.0323038173848307,0.256870259945435,0.100815059358026
PFKP,-0.220099055465438,1,0.121165328605713,0.310792931004336,0.9375,1.0,-0.421733909383114,-0.187441553454702,0.0517793648773068,-0.323000123901243
STIM1,-0.325413791350548,1,0.317188391770969,0.507997820292484,0.9375,1.0,-0.101387920823413,0.332801596098209,-0.849926617680705,-0.683142222996285
ORAI1,-0.370323528866352,2,0.231772641939827,0.426621212377463,0.6875,1.0,-0.764111667582852,-0.832467398769153,0.0321969800613271,0.0830879708252708
AGRN,-0.387220677227071,2,0.319705470053356,0.510148460090973,0.6875,1.0,0.117351230268032,0.0111022864908321,-0.364242845114912,-1.31309338055223
ACTL6B,-0.407655967131037,1,0.169624314248228,0.363907189242608,0.9375,1.0,0.162062263616845,-0.643101806183044,-0.275302947794106,-0.874281378163841
RSF1,-0.418354822860955,0,0.0842725600178603,0.265559403894655,1.0,1.0,-0.20497645014339,-0.625443241019971,-0.0782102869180541,-0.764789313362405
HDGFL2,-0.462658250392187,0,0.106383271244688,0.293237231542879,1.0,1.0,-0.0176852205830809,-0.787830360855832,-0.221912435053468,-0.823204985076368
ORAI2,-0.671529005346198,0,0.0876377958011003,0.270748039472658,1.0,1.0,-0.0963627864109231,-0.83890130921553,-0.415408588528177,-1.33544333723016
STMN2,-0.845588103304858,0,0.0452625710727596,0.215667816677861,1.0,1.0,-0.476273796886989,-0.339635996779723,-1.22883933314794,-1.33760328640478
CRACR2B,-0.849458417193358,0,0.0284172820880912,0.189324692719041,1.0,1.0,-0.301530045576692,-0.818770827974697,-0.940461833397304,-1.33707096182474
