comparison,gene,n_case,n_control,median_difference_log2CPM,cliffs_delta,p_value,q_value,significant,direction
GSE123496 · Hippocampus,ATP2A2,5,5,-0.1413,-0.12,0.8412698412698413,1.0,,decreased
GSE123496 · Hippocampus,ATP2A3,5,5,-0.3309,-0.2,0.6904761904761905,1.0,,decreased
GSE123496 · Hippocampus,STMN2,5,5,0.6096,-0.12,0.8412698412698413,1.0,,decreased
GSE123496 · Hippocampus,UNC13A,5,5,-0.0089,-0.12,0.8412698412698413,1.0,,decreased
GSE123496 · Hippocampus,TARDBP,5,5,-0.0233,-0.2,0.6904761904761905,1.0,,decreased
GSE123496 · Hippocampus,GFAP,5,5,0.6123,0.76,0.0555555555555555,0.8095238095238095,,increased
GSE123496 · Hippocampus,SNAP25,5,5,0.0068,-0.04,1.0,1.0,,decreased
GSE123496 · Hippocampus,RBFOX3,5,5,0.128,0.28,0.5476190476190477,1.0,,increased
GSE123496 · Hippocampus,MBP,5,5,-1.7789,-0.6,0.1507936507936507,0.8544973544973544,,decreased
GSE123496 · Hippocampus,PLP1,5,5,-1.1415,-0.68,0.0952380952380952,0.8095238095238095,,decreased
GSE123496 · Internal capsule,TRPC1,5,5,-0.0055,0.2,0.6904761904761905,0.7825396825396825,,increased
GSE123496 · Internal capsule,SARAF,5,5,0.06,0.12,0.8412698412698413,0.8412698412698413,,increased
GSE123496 · Internal capsule,CBARP,5,5,-0.3594,-0.52,0.2222222222222222,0.5396825396825397,,decreased
GSE123496 · Internal capsule,STIM1,5,5,-0.2003,-0.28,0.5476190476190477,0.7161172161172161,,decreased
GSE123496 · Internal capsule,STIM2,5,5,-0.1297,-0.36,0.4206349206349206,0.6500721500721501,,decreased
GSE123496 · Internal capsule,ORAI2,5,5,-0.1514,-0.2,0.6904761904761905,0.7825396825396825,,decreased
GSE123496 · Internal capsule,ORAI3,5,5,0.1984,0.68,0.0952380952380952,0.5396825396825397,,increased
GSE123496 · Internal capsule,ATP2A2,5,5,-0.5983,-0.44,0.3095238095238095,0.6500721500721501,,decreased
GSE123496 · Internal capsule,ATP2A3,5,5,-0.5496,-0.6,0.1507936507936507,0.5396825396825397,,decreased
GSE123496 · Internal capsule,STMN2,5,5,-1.6994,-0.36,0.4206349206349206,0.6500721500721501,,decreased
GSE123496 · Internal capsule,UNC13A,5,5,-1.6756,-0.68,0.0952380952380952,0.5396825396825397,,decreased
GSE123496 · Internal capsule,TARDBP,5,5,0.0026,-0.12,0.8412698412698413,0.8412698412698413,,decreased
GSE123496 · Internal capsule,GFAP,5,5,1.545,1.0,0.0079365079365079,0.1349206349206349,,increased
GSE123496 · Internal capsule,SNAP25,5,5,-2.2089,-0.52,0.2222222222222222,0.5396825396825397,,decreased
GSE123496 · Internal capsule,RBFOX3,5,5,-1.2072,-0.52,0.2222222222222222,0.5396825396825397,,decreased
