gene,gene_upper,panel,source_lists,categories,source_evidence
CAMKK2,CAMKK2,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Categorized_calcium;Curated_258;Galaxy_STAR_calcium,CaM_CaMK;Calcium_Signaling;Calmodulin/CaMK;Galaxy_STAR_calcium,Calcium_genes_analysis:Calcium_Signaling;Categorized_calcium:Calmodulin/CaMK;Curated_258:CaM_CaMK;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CAMKMT,CAMKMT,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Calmodulin/CaMK;Galaxy_STAR_calcium,Categorized_calcium:Calmodulin/CaMK;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CANX,CANX,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Categorized_calcium;Galaxy_STAR_calcium,Ca-binding proteins;Calcium_Binding;Galaxy_STAR_calcium,Calcium_genes_analysis:Calcium_Binding;Categorized_calcium:Ca-binding proteins;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CAPN1,CAPN1,Tier4_Expanded_Calcium_Associated_732,Curated_258,Calpains,Curated_258:Calpains
CAPN10,CAPN10,Tier4_Expanded_Calcium_Associated_732,Curated_258,Calpains,Curated_258:Calpains
CAPN15,CAPN15,Tier4_Expanded_Calcium_Associated_732,Curated_258,Calpains,Curated_258:Calpains
CAPN2,CAPN2,Tier4_Expanded_Calcium_Associated_732,Curated_258,Calpains,Curated_258:Calpains
CAPN3,CAPN3,Tier4_Expanded_Calcium_Associated_732,Curated_258,Calpains,Curated_258:Calpains
CAPN5,CAPN5,Tier4_Expanded_Calcium_Associated_732,Curated_258,Calpains,Curated_258:Calpains
CAPN7,CAPN7,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Curated_258;Galaxy_STAR_calcium,Calpains;Galaxy_STAR_calcium,Categorized_calcium:Calpains;Curated_258:Calpains;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CAPN9,CAPN9,Tier4_Expanded_Calcium_Associated_732,Curated_258,Calpains,Curated_258:Calpains
